,,,,,,,ENGINEERING CUTOFF RANK OF CET-2024 - MOCK,,,,,,,ALLOTMENT ( GENERAL ),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,25-AUG-24 05:02 PM,,,,,
7,E007,Dayananda Sagar College of Engineering,,,,,Bangalore,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
DS Comp. Sc. Engg-,,8884,--,--,7911,--,8996,9332,--,--,6211,--,--,6406,9953,--,4890,--,8444,32960,--,48484 31273,--,--,
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,13230,--,13985 14608 18347 15680 15639,,,,,--,43425,9542,--,--,8784,--,14009,7634,16361 13615 50740 58074 61396 48831 58763 51184,,,,,,,
EE Electrical,,22396,--,--,27085,--,36139 50167,,--,--,22127,--,--,25526,--,30314 21181 29298 28959 72661 103174 75273 74955,,,,,,,--,76281,
EI Elec. Inst.,,30892,--,--,33893,--,--,45727,--,--,25824,--,29182 32682,--,--,22563 48616 27216 97490,,,,--,124194 67912,,--,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,26689,--,47178 28783,,--,36728 27768,,--,--,21810,--,--,20835,--,--,16037 45612 33339 105809163220109735 89826,,,,,,--,134534,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
"IC CS-IoT, Cyber",,12799,--,--,11694,--,--,14436 59967 31185,,8224,,--,12099,7482,--,--,6578,--,9165,47027,--,--,46172,--,--
Security,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,11499,--,--,8763,11816 10409 11724,,,--,--,6302,--,--,6694,--,8671,5379,10969,8465,35965 54824 39224 39233,,,--,39322,
MD Med.Elect.,,--,--,--,77622 105359,,--,48690,--,--,51289,--,94405 46753,--,--,44932 90729 78368 130642,,,,--,--,122557,--,210068,
ME Mechanical,,38989,--,--,56858,--,72923 58052,,--,--,45961,--,--,41985 77926 79586 37685 70478 64669 123582,,,,,,--,171313140324,,--,180024,
RI Robotics and AI 12324,,,--,--,16945,--,19619 26218,,--,--,11498,--,--,14634,--,--,9227,28094 14527 51905,,--,77708 39796,,--,--,
8,E008,Bangalore Institute of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
