AI Artificial,,4153,--,--,4919,17938,7765,6443,--,--,1596,--,--,2545,--,5913,1301,13501,5205,21248 52367 29527 11255,,,--,20874,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
BT Bio Technology,,10805,--,--,26831,--,53560 39816,--,--,12291,--,--,22462,--,--,7692,--,43465 37349,,--,--,--,--,--,
CS Computers,,2529,5411,5108,2568,6578,3989,3741,--,6896,1343,9364,2321,1561,3932,2751,787,3475,2141,10121 18584 12896,4628,,--,7207,
EC Electronics,,6200,--,9142,7355,10728 12667 14106 22488 18644,,,,4205,--,8931,4973,--,9091,3366,10027,8495,30280 40052 40599 16151,,,,--,--,
EE Electrical,,14384,--,--,19865,--,31474 18255,--,--,10516,--,--,12850,--,--,7923,27607 18035 46454,,,--,48224 21953 52541 54121,,,,
ME Mechanical,,--,--,--,35245,--,--,--,--,--,--,--,--,--,--,--,13742 73919 49170 59626,,,--,122894 78185,,--,--,
11,E011,M V J College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,,63825,--,--,69387 78781 95015 65204,,,--,--,58176,--,--,62165,--,96139 56762 64523 74248 91319,,,,,--,151552 72929,,--,--,
AI Artificial,,33004,--,--,28032,--,--,--,--,--,26450,--,--,25337,--,--,25248 26289 28365 47721,,,--,--,25703,--,69404,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
CD Computer Sc.,,40181,--,--,36041,--,37611 40608,--,--,--,--,--,33067,--,--,31596,--,33307 75020 125370101217,,,,--,--,--,
and Design,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,158170,--,--,144252,--,--,119145,--,--,119762,--,--,128429,--,--,115355148291133706131704,,,--,159677,--,--,--,
CH Chemical,,101965,--,--,104177,--,--,84673,--,--,--,--,--,113960,--,--,79412,--,99792 142881,--,--,--,--,--,
